1 はずれ
左1→中14→右5 ×
左6→中3→右15 ×
左6→中4→右1 ×
左6→中5→右15 ×
左6→中7→右15 ×
左6→中8→右1 ×
左6→中9→右15 ×
左6→中11→右15 ×
左6→中12→右1 ×
左6→中13→右15 ×
左6→中15→右15 ×
左6→中16→右1 ×
左6→中19→右15 ×
左6→中20→右1 ×
左6→右20→中2 ×
左7→中2→右20 ×
左8→中6→右15 ×
左8→中10→右15 ×
左8→中14→右15 ×
左9→右21→中3 ×
左13→中3→右1 ×
左13→中4→右1 ×
左13→中7→右1 ×
左13→中8→右1 ×
左13→中11→右1 ×
左13→中12→右1 ×
左13→中15→右1 ×
左13→中16→右1 ×
左13→中19→右1 ×
左13→中20→右1 ×
左14→中4→右3 ×
左14→中8→右3 ×
左14→中12→右3 ×
左14→中16→右3 ×
左14→中17→右1 ×
左14→中20→右3 ×
左14→中21→右1 ×
左15→中3→右1 ×
左15→中18→右15 ×
左15→中19→右1 ×
左15→右2→中2 ×
左15→右6→中2 ×
左15→右10→中2 ×
左15→右18→中2 ×
中2→左7→右20 ×
中2→右1→左9 ×
中2→右2→左3 ×
中2→右4→左1 ×
中2→右5→左9 ×
中2→右6→左3 ×
中2→右8→左1 ×
中2→右9→左9 ×
中2→右10→左3 ×
中2→右12→左1 ×
中2→右13→左9 ×
中2→右14→左3 ×
中2→右16→左1 ×
中2→右17→左9 ×
中2→右18→左3 ×
中2→右19→左8 ×
中2→右20→左2 ×
中2→右21→左3 ×
中2→右1 ×
中3→左4→右3 ×
中3→左6→右15 ×
中3→左13→右1 ×
中3→左15→右1 ×
中3→右1→左16 ×
中3→右2→左15 ×
中3→右4→左17 ×
中3→右5→左16 ×
中3→右6→左15 ×
中3→右8→左17 ×
中3→右9→左16 ×
中3→右10→左15 ×
中3→右12→左17 ×
中3→右13→左16 ×
中3→右14→左7 ×
中3→右16→左17 ×
中3→右17→左16 ×
中3→右18→左15 ×
中3→右20→左3 ×
中4→左6→右1 ×
中4→左13→右1 ×
中4→左14→右3 ×
中4→右3→左8 ×
中4→右7→左8 ×
中4→右11→左8 ×
中4→右14→左9 ×
中4→右15→左8 ×
中4→右20→左8 ×
中5→左6→右15 ×
中5→右1→左8 ×
中5→右4→左9 ×
中5→右5→左8 ×
中5→右8→左9 ×
